Pair,Model_A,Model_B,Loss,Set,DM_stat_full,p_value_full,n_obs_full,A_better_than_B_5pct_full,DM_stat_trim,p_value_trim,n_obs_trim,A_better_than_B_5pct_trim,same_significance
JPYPHP_RET,var,baseline_rw,mse,test,-1.9342486293225185,0.053750751498081506,423,False,-1.315181822589156,0.18917676216676504,415,False,True
JPYPHP_RET,varx,baseline_ar1,mse,test,-2.676008729339342,0.007740519706856075,423,True,-1.988229312488519,0.04744762818507087,413,True,True
JPYPHP_RET,varx,baseline_mean,mse,test,-3.589116554483063,0.0003707614871681919,423,True,-3.059620215021417,0.0023610025437068582,413,True,True
JPYPHP_RET,varx,baseline_rw,mse,test,-3.599442746666888,0.0003567692191073224,423,True,-3.0633342994926744,0.0023325443717736594,413,True,True
SGDPHP_RET,hybrid_arima_svr,arima,mse,test,-1.852776403795852,0.06461236707650864,423,False,-1.3206213043628092,0.18735899332191996,414,False,True
SGDPHP_RET,hybrid_arima_mlp,arima,mse,test,-2.04024236940488,0.04194821847143282,423,True,-1.8308585072769203,0.06784200144119734,414,False,False
SGDPHP_RET,hybrid_var_svr,var,mse,test,-1.6759254416578027,0.09449347409293907,423,False,-0.3977308816013071,0.6910350645278016,412,False,True
SGDPHP_RET,hybrid_var_mlp,var,mse,test,-2.4008551871950288,0.016788759704362777,423,True,-2.7713997617959865,0.005833862282394575,414,True,True
SGDPHP_RET,arima,baseline_ar1,mse,test,-3.227721615540153,0.0013451619068476361,423,True,-3.09222912813037,0.0021213508799391434,414,True,True
SGDPHP_RET,arima,baseline_mean,mse,test,-3.222216946027495,0.0013706354431965995,423,True,-3.2742355657951663,0.0011487184885121682,414,True,True
SGDPHP_RET,arima,baseline_rw,mse,test,-3.2022024370391593,0.0014670654717183762,423,True,-3.2816690180145405,0.0011196183945729743,414,True,True
SGDPHP_RET,arimax,baseline_ar1,mse,test,-2.736879363251738,0.006464538245166684,423,True,-2.284798597344836,0.02283100155828044,414,True,True
SGDPHP_RET,arimax,baseline_mean,mse,test,-3.279672006389878,0.001125445150686577,423,True,-3.5149589271857677,0.0004885029418433273,414,True,True
SGDPHP_RET,arimax,baseline_rw,mse,test,-3.2614694271419924,0.0011983306707905594,423,True,-3.5207089295749405,0.0004783361641966799,414,True,True
SGDPHP_RET,hybrid_arima_mlp,baseline_ar1,mse,test,-2.6723558962389107,0.007823849720080212,423,True,-3.4578867554757684,0.0006009809179146064,414,True,True
SGDPHP_RET,hybrid_arima_mlp,baseline_mean,mse,test,-2.8029932727572446,0.005296470385601992,423,True,-3.1811166456652997,0.0015778252459719422,414,True,True
SGDPHP_RET,hybrid_arima_mlp,baseline_rw,mse,test,-2.791653935672531,0.005482112505224457,423,True,-3.179495135644675,0.0015864650447288131,414,True,True
SGDPHP_RET,hybrid_arima_svr,baseline_ar1,mse,test,-2.2945024909616527,0.022251872648008986,423,True,-2.775709255380856,0.005758520372128206,414,True,True
SGDPHP_RET,hybrid_arima_svr,baseline_mean,mse,test,-2.603236059385701,0.009560265723296268,423,True,-3.1603080392954577,0.0016920712848551567,414,True,True
SGDPHP_RET,hybrid_arima_svr,baseline_rw,mse,test,-2.5950140169932125,0.009788253111042033,423,True,-3.1597848421542793,0.0016950398411190726,414,True,True
SGDPHP_RET,hybrid_arimax_mlp,baseline_ar1,mse,test,-2.9569033260099506,0.0032819336521952014,423,True,-3.69120940504719,0.00025311400003236173,414,True,True
